"Year","Value"
"1870","23.75"
"1871","23.09"
"1872","23.24"
"1873","23.52"
"1874","22.99"
"1875","23.75"
"1876","23.05"
"1877","21.66"
"1878","20.84"
"1879","20.67"
"1880","20.67"
"1881","20.67"
"1882","20.67"
"1883","20.67"
"1884","20.67"
"1885","20.67"
"1886","20.67"
"1887","20.67"
"1888","20.67"
"1889","20.67"
"1890","20.67"
"1891","20.67"
"1892","20.67"
"1893","20.67"
"1894","20.67"
"1895","20.67"
"1896","20.67"
"1897","20.67"
"1898","20.67"
"1899","20.67"
"1900","20.67"
"1901","20.67"
"1902","20.67"
"1903","20.67"
"1904","20.67"
"1905","20.67"
"1906","20.67"
"1907","20.67"
"1908","20.67"
"1909","20.67"
"1910","20.67"
"1911","20.67"
"1912","20.67"
"1913","20.67"
"1914","20.67"
"1915","20.67"
"1916","20.67"
"1917","20.67"
"1918","20.67"
"1919","20.67"
"1920","20.67"
"1921","20.67"
"1922","20.67"
"1923","20.67"
"1924","20.67"
"1925","20.67"
"1926","20.67"
"1927","20.67"
"1928","20.67"
"1929","20.67"
"1930","20.67"
"1931","20.67"
"1932","20.67"
"1933","24.44"
"1934","34.94"
"1935","35.00"
"1936","35.00"
"1937","35.00"
"1938","35.00"
"1939","35.00"
"1940","35.00"
"1941","35.00"
"1942","35.00"
"1943","35.00"
"1944","35.00"
"1945","35.00"
"1946","35.00"
"1947","35.00"
"1948","35.00"
"1949","35.00"
"1950","35.00"
"1951","35.00"
"1952","35.00"
"1953","35.00"
"1954","35.00"
"1955","35.00"
"1956","35.00"
"1957","35.00"
"1958","35.00"
"1959","35.00"
"1960","35.00"
"1961","35.00"
"1962","35.00"
"1963","35.00"
"1964","35.00"
"1965","35.00"
"1966","35.00"
"1967","35.00"
"1968","39.26"
"1969","41.51"
"1970","36.41"
"1971","41.25"
"1972","58.60"
"1973","97.81"
"1974","159.74"
"1975","161.49"
"1976","125.32"
"1977","148.31"
"1978","193.55"
"1979","307.50"
"1980","612.56"
"1981","459.64"
"1982","375.91"
"1983","424.00"
"1984","360.66"
"1985","317.66"
"1986","368.24"
"1987","447.95"
"1988","438.31"
"1989","382.58"
"1990","384.93"
"1991","363.29"
"1992","344.97"
"1993","360.91"
"1994","385.42"
"1995","385.50"
"1996","389.09"
"1997","332.39"
"1998","295.24"
"1999","279.91"
"2000","280.10"
"2001","272.22"
"2002","311.33"
"2003","364.80"
"2004","410.52"
"2005","446.00"
"2006","606.00"
"2007","699.00"
"2008","874.00"
"2009","975.00"
"2010","1,227.00"
"2011","1,572.00"
"2012","1,700.00"
"2013","1,415.00"
"2014","1,269.00"
"2015","1,163.00"
"2016","1,252.00"
"2017","1,260.00"
"2018","1,270.00"
"2019","1,390.00"
"2020","1,770.00"
"2021","1,800.00"
"2022","1,800.00"
"2023","1,940.00"
